id,message,why_1,why_2,why_sub1,why_sub2,what1,what2,what_sub1,what_sub2,,,,,,,,,,,,,,,,,
195153," Fix bug with unresolved symbols in Android Studio 2.3 (#17586)

* Fix bug with unresolved symbols in Android Studio 2.3

* Fix bug with unresolved symbols in Android Studio 2.3",Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
156379, fix double free. ,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
275210, Fix rows error in DOGM ,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
295991,fixes for Ahuacatl,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
346785,Fixed linkage [ # CLICKHOUSE - 2 ] . ,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
48777,fixed assert,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
130710,Fix sanity,Describe Objective,Describe Objective,To fix defects,To fix defects,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
152407, Sema: Fix closureEffects() to pass the right DeclContext for the lookup ,Describe Objective,Describe Objective,To make improvements,To fix defects,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,,,,,,,
216960,Fixes the definition of GTEST_ATTRIBUTE_UNUSED and make the tests pass in opt mode.,Describe Objective,Describe Objective,To make improvements,To fix defects,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
82257, made comments for string view and get_name more clear ,Describe Objective,Describe Objective,To make improvements,To make improvements,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,,,,,,,
243454, Set device_id at the begining of Solver.Init() to avoid using memory in the default GPU,Describe Objective,Describe Objective,To make improvements,To make improvements,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,,,,,,,
68110," Change the error message in pad_sequence to be more user-friendly (#7283)
",Describe Objective,Describe Objective,To make improvements,To make improvements,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,,,,,,,
77520,"fixed: improved efficiency a little by taking out a calculation

git-svn-id: https://xbmc.svn.sourceforge.net/svnroot/xbmc/trunk@26730 568bbfeb-2a22-0410-94d2-cc84cf5bfa90",Describe Objective,Describe Objective,To make improvements,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Characteristics of changes,,,,,,,,,,,,,,,,,
31173,SERVER-48810 Add custom Bison location and improve error messages from parser,Describe Objective,Describe Objective,To make improvements,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
68032," Brings distributed filter online.

Hurrah the first actual useful thing from this parallelization effort.",Describe Objective,Describe Objective,To make improvements,To make improvements,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,,,,,,,
280778,Use inline code for isinf as a workaround for libstdc++ versions from gcc 5.x era.,Describe Objective,Illustrate Requirement,To fix defects,Runtime or development environment change,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,,,,,,,
23034,CCBIReader fixes + building and running flawless on iOS and Android. Made it works on win32.,Describe Objective,Illustrate Requirement,To fix defects,Runtime or development environment change,Trivial What,Summarize Code Object Change,Trivial What,Change list,,,,,,,,,,,,,,,,,
165902,Add rr support to testing.js. ,Describe Objective,Imply Necessity,To make improvements,Relation to an implemented feature,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,,,,,,,
227982," Sema: Fixes for protocol typealiases
This is a big refactoring of resolveTypeInContext() which makes the function clearer to understand by merging various special cases and generalizing the logic for walking parent and superclass contexts to cover more cases.
This improves typealiases in protocols a bit:
1) Previously a typealias in a protocol either had to be concrete, or consist of a single path of member types from Self, eg Self.A.B. Lift this restriction, so we can now write things like
protocol Fireworks {
  associatedtype Exploding
  typealias Exploder = Exploding -> [Exploding]
}
2) Protocol typealiases can now be accessed via qualified lookup on concrete types. Getting this working for unqualified lookup requires further refactorings which will be in a subsequent patch.",Describe Objective,Imply Necessity,To make improvements,Relation to an implemented feature,Summarize Code Object Change,Summarize Code Object Change,Characteristics of changes,Characteristics of changes,,,,,,,,,,,,,,,,,
98811, Omit leaf frame pointers in optimized builds ,Describe Objective,Imply Necessity,To make improvements,Relation to an implemented feature,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
65930,"SERVER-11767 allow more time for records to replicate, on slower builders",Describe Objective,Imply Necessity,To make improvements,Relation to an implemented feature,Trivial What,Summarize Code Object Change,Trivial What,Characteristics of changes,,,,,,,,,,,,,,,,,
215486, Change WiredTigerRecordStore::Truncate to call wiredTigers truncate ,Describe Objective,Missing Why,Describe Objective,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Contrast before and after,,,,,,,,,,,,,,,,,
235284, Temporary revert site about new package name (clickhouse-server vs clickhouse-server-common),Describe Objective,Missing Why,Describe Objective,Missing Why,Trivial What,Summarize Code Object Change,Trivial What,Contrast before and after,,,,,,,,,,,,,,,,,
162295,Pass along verbose mode,Describe Objective,Missing Why,To make improvements,Missing Why,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
58895,[PVR] Remove superflous member CPVRRecording::m_duration ,Describe Objective,Trivial Why,To fix defects,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
280546, Cosmetic: unify capitalizations ,Describe Objective,Trivial Why,To make improvements,Code refactoring,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
59297," Merge pull request #10621 from nicolasnoble/import

Cleanup of the BUILD files.",Describe Objective,Trivial Why,To make improvements,Version management,Summarize Code Object Change,Trivial What,Characteristics of changes,Trivial What,,,,,,,,,,,,,,,,,
308549,Organize test cases for xds test ,Illustrate Requirement,Trivial Why,Usage need,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,,,,,,,
55081," Enabling python configuration to use a remotely generated configuration. This will prepare TF for use of Bazel's new remote execution api.

Change: 154726835",Imply Necessity,Illustrate Requirement,Improvements and benefits,Runtime or development environment change,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,,,,,,,
270309," Update the ObjC projects for Xcode 8

- Let Xcode 8 update settings on the projects/schemes.
- Migrate Swift tests to Swift 3 syntax.
- Update the build/test script:
  - Require Xcode 8 (because of the Swift 3 requirement for tests)
  - Update the devices to what Xcode 8 has (8.x simulator seem to fail even
    though they can be downloaded in Xcode 8)
- Update the travis images to ones with Xcode 8.",Imply Necessity,Illustrate Requirement,Relation to an implemented feature,Runtime or development environment change,Summarize Code Object Change,Summarize Code Object Change,Change list,Change list,,,,,,,,,,,,,,,,,
167644,dont use dynamic memory for condition variable initialization ,Imply Necessity,Imply Necessity,Conventions and standards,Conventions and standards,Trivial What,Describe Implementation Principle,Trivial What,Describe Implementation Principle,,,,,,,,,,,,,,,,,
69447, SERVER-17114 capped cursor should die when falling off the back of collection,Imply Necessity,Imply Necessity,Conventions and standards,Relation to an implemented feature,Trivial What,Describe Implementation Principle,Trivial What,Describe Implementation Principle,,,,,,,,,,,,,,,,,
331659," feat(WebSocketModule): Add cross reference to issue for TODO

TODOs should be cross-referenced to open issues for better tracking.
Adds cross-reference for options support in WebSocketModule.",Imply Necessity,Imply Necessity,Improvements and benefits,Improvements and benefits,Summarize Code Object Change,Describe Implementation Principle,Characteristics of changes,Describe Implementation Principle,,,,,,,,,,,,,,,,,
108915," Add pretty-printing for statements.

Since we can't pretty-print expressions yet, the output looks really
funny and sparse.


Swift SVN r3583",Imply Necessity,Imply Necessity,Relation to an implemented feature,Improvements and benefits,Trivial What,Summarize Code Object Change,Trivial What,Contrast before and after,,,,,,,,,,,,,,,,,
214667, Added an option to learn just non-negative weights. ,Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Illustrate Function,Illustrate Function,Illustrate Function,Illustrate Function,,,,,,,,,,,,,,,,,
235990,reprepare assets on rebuild ,Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,,,,,,,
160855, [Lobster] optional scalars support ,Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Trivial What,Missing What,Trivial What,Missing What,,,,,,,,,,,,,,,,,
319245,client: updates on parsing options from command line [METR-10071] ,Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
142437," Add detection of jemalloc in cmake

This adds detection of jemalloc in cmake. It can be enabled with an
option, which is left to OFF by default for now.",Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
114457, SERVER-39689 add data consistency parameters to rollback_test ,Imply Necessity,Imply Necessity,Relation to an implemented feature,Relation to an implemented feature,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
113539,run simplifyExpressions after splitMemory,Imply Necessity,Missing Why,Relation to an implemented feature,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
273031,"Revert ""Fix AnimationPlayer editor length and step synchronization""",Imply Necessity,Missing Why,Relation to prior commits,Missing Why,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
157600," Update persons_of_interest.rst

Updating to add POI for mobile, quantization and an addition to optimizers.",Imply Necessity,Trivial Why,Relation to an implemented feature,Text file changes,Summarize Code Object Change,Trivial What,Change list,Trivial What,,,,,,,,,,,,,,,,,
255077,"Merge pull request #31933 from rintaro/ide-completion-rdar58886969

[CodeCompletion] Stop suggesting static member on a protoco meta type",Imply Necessity,Trivial Why,Relation to an implemented feature,Version management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
167992," Add sanity test for CPU profiler

The new test checks full CPU profiling cycle: using public V8 API it starts profiling, executes a script, stops profiling and analyzes collected profile to check that its top-down tree has expected strutcture. The script that is being profiled is guaranteed to run > 200ms to make sure enough samples are collected.

To avoid possible flakiness due to non-deterministic time required to start new thread on varios OSs when Sampler and ProfilerEventsProcessor threads are being started the main thread is blocked until the threads are running.

Also I removed the heuristic in profile-generator.cc where we try to figure out if the value on top of the sampled stack is return address of some frameless stub invocation. The code periodically gives false positive with the new test ending up in an extra node in the collected cpu profile. After discussion with jkummerow@ we concluded that the logic is too fragile and that we can address frameless stub invocations in a more reliable way later should they have a noticeable effect on cpu profiling.

BUG=None

Review URL: https://codereview.chromium.org/13627002

git-svn-id: http://v8.googlecode.com/svn/branches/bleeding_edge@14205 ce2b1a6d-e550-0410-aec6-3dcde31c8c00",Imply Necessity; Describe Issue,Describe Objective,Improvements and benefits; Describe error scenario,To make improvements,Summarize Code Object Change,Summarize Code Object Change,Change list,Characteristics of changes,,,,,,,,,,,,,,,,,
268249,Update wide_integer_impl.h,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,,,,,,,
152927,viewcfg: use the 'helvetica' font ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Characteristics of changes,Object of change,,,,,,,,,,,,,,,,,
349535, Replace jwidget_set_min/max_size() with Width::setMin/MaxSize() ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Contrast before and after,,,,,,,,,,,,,,,,,
39852,Use blackHole on the comparison result ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
282981, SERVER-39809 Remove the prepare root field of oplog entry ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
92095, Add a stub pthread_mutex_trylock(). ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
235449, Added some of the cuDNN conv calls. ,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
238764,Automated g4 rollback of changelist 166204326 PiperOrigin-RevId: 166234847,Missing Why,Missing Why,Missing Why,Missing Why,Summarize Code Object Change,Trivial What,Characteristics of changes,Trivial What,,,,,,,,,,,,,,,,,
9062,Create boolean_parenthesization.py ,Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
78518,DBG: MemUpdateMapAsync() ,Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
330955, table column size.,Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
174543,Changed to one line in main build script ,Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
143101," Internal change.

PiperOrigin-RevId: 234153216",Missing Why,Missing Why,Missing Why,Missing Why,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
32687," issue #73

modify effects test code",Trivial Why,Describe Issue,,Introduce issue/PR reference,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,,,,,,,
31776,Bump @types/react-native from 0.63.25 to 0.63.26 (#6273) ,Trivial Why,Illustrate Requirement,Version Management,Runtime or development environment change,Trivial What,Summarize Code Object Change,Trivial What,Contrast before and after,,,,,,,,,,,,,,,,,
272923, removed obsolete CARMA toolchain and CMake variable ,Trivial Why,Illustrate Requirement,,Out of date,Summarize Code Object Change,Summarize Code Object Change,Change list,Object of change,,,,,,,,,,,,,,,,,
12146,Port weather.coffee to PhantomJS 1.2 ,Trivial Why,Illustrate Requirement,,Runtime or development environment change,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
67328,mingw support,Trivial Why,Illustrate Requirement,,Runtime or development environment change,Trivial What,Illustrate Function,Trivial What,Illustrate Function,,,,,,,,,,,,,,,,,
116085, [tf.data] Apply standard grappler optimizations after custom dataset optimizations,Trivial Why,Imply Necessity,,Relation to an implemented feature,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
208001,"Move TF function test that is keras related to integration test.

PiperOrigin-RevId: 304803957
Change-Id: Ia190726a64701dca4d8dfe9aabb5f7f80faf78e6",Trivial Why,Trivial Why,Code refactoring,Code refactoring,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
235003,refactoring,Trivial Why,Trivial Why,Code refactoring,Code refactoring,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
31064," Add test for verifying combine_spatial_bn values in DPM (#11710)

Summary:
Pull Request resolved: pytorch/pytorch#11710

Added a test to check that output and gradient values are correctly
calculated wehn combine_spatial_bn is true on data parallel model

Reviewed By: enosair

Differential Revision: D9833660

fbshipit-source-id: 14d29fbebefa9dc303ffae06f9899ea4bde23025",Trivial Why,Trivial Why,Test cases,Test cases,Summarize Code Object Change,Illustrate Function,Object of change,Illustrate Function,,,,,,,,,,,,,,,,,
255106," add test case for eosio_assert_code #2561

Also added support in `abi_serializer` for getting the error message
corresponding to an error code.",Trivial Why,Trivial Why,Test cases,Test cases,Summarize Code Object Change,Summarize Code Object Change,Change list,Change list,,,,,,,,,,,,,,,,,
356046,Fix links in docs ,Trivial Why,Trivial Why,Text file changes,Text file changes,Trivial What,Summarize Code Object Change,Trivial What,Object of change,,,,,,,,,,,,,,,,,
349510,Update CHANGELOG [ci skip] ,Trivial Why,Trivial Why,Text file changes,Text file changes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
233377, Fix cpplint warning ,Trivial Why,Trivial Why,Trivial Why,Trivial Why,Summarize Code Object Change,Summarize Code Object Change,Object of change,Object of change,,,,,,,,,,,,,,,,,
261624,fix typo,Trivial Why,Trivial Why,Typographic fixes,Typographic fixes,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
138375, .gitignore: add Tests/UnitTests/NetworkTests/Output/ ,Trivial Why,Trivial Why,Version management,Test cases,Summarize Code Object Change,Trivial What,Change list,Trivial What,,,,,,,,,,,,,,,,,
291878,"Merge pull request #34412 from dfki-mako:extended_hlo_legalization

PiperOrigin-RevId: 281466741
Change-Id: Ib7606b4644f6db1e2085e5b642b657a10fc4b0a8",Trivial Why,Trivial Why,Version Management,Version Management,Summarize Code Object Change,Trivial What,Characteristics of changes,Trivial What,,,,,,,,,,,,,,,,,
194844," Merge pull request #1919 from BayoNet/master

Redirects and single_page -> single.",Trivial Why,Trivial Why,Version Management,Version Management,Summarize Code Object Change,Trivial What,Object of change,Trivial What,,,,,,,,,,,,,,,,,
305904,Merge pull request #14878 from JoeHowse:4.1.0-patches ,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
228001,Merge pull request #3812 from etschannen/release-6.3 ,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
179806, Merge pull request #9762 from dkurt:fix_tensorflow_split_layer ,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
342185, Merge remote-tracking branch 'origin/master' into master-next ,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
85855,"Merge pull request #6482 from caisq/branch_142863423

Branch 142863423",Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
285642, Merge remote-tracking branch 'origin/master' into master-next ,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
236879, Merge pull request #34574 from apple/revert-34545-FixPlaceholderOverlayDeps,Trivial Why,Trivial Why,Version Management,Version Management,Trivial What,Trivial What,Trivial What,Trivial What,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
